pitcher,batter,pitch_type,spin,ivb,hb,count_balls,count_strikes,result,batter_side,pitcher_hand,date
OPP-11,H04,Fastball,2286,17.2,14.6,0,0,InPlay,L,R,2026-09-04
OPP-11,H05,Fastball,2174,15.2,9.1,0,0,StrikeCalled,L,R,2026-09-04
OPP-11,H05,Fastball,2327,16.4,8.7,0,1,FoulBall,L,R,2026-09-04
OPP-11,H05,Fastball,2153,16.6,9.1,0,2,InPlay,L,R,2026-09-04
OPP-11,H09,Fastball,2122,14.2,12.7,0,0,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,2223,15.8,13.4,0,0,StrikeSwinging,L,R,2026-09-04
OPP-11,H02,Fastball,2181,12.6,13.6,0,1,StrikeSwinging,L,R,2026-09-04
OPP-11,H02,Fastball,2345,15.0,12.2,0,2,StrikeSwinging,L,R,2026-09-04
OPP-11,H01,Fastball,2232,15.2,8.4,0,0,BallCalled,R,R,2026-09-04
OPP-11,H01,Fastball,2199,17.0,5.4,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H01,Changeup,1753,8.6,8.6,1,1,FoulBall,R,R,2026-09-04
OPP-11,H01,Fastball,2364,15.2,5.5,1,2,BallCalled,R,R,2026-09-04
OPP-11,H01,Fastball,2329,16.6,4.3,2,2,BallCalled,R,R,2026-09-04
OPP-11,H01,Curveball,2602,-9.0,-10.1,3,2,FoulBall,R,R,2026-09-04
OPP-11,H01,Fastball,2352,16.5,7.8,3,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2319,15.2,6.3,0,0,BallCalled,L,R,2026-09-04
OPP-11,H06,Fastball,2137,14.6,14.4,1,0,StrikeCalled,L,R,2026-09-04
OPP-11,H06,Fastball,2257,14.3,10.0,1,1,StrikeCalled,L,R,2026-09-04
OPP-11,H06,Slider,2535,1.6,-3.4,1,2,BallCalled,L,R,2026-09-04
OPP-11,H06,Slider,2526,3.5,-5.1,2,2,StrikeCalled,L,R,2026-09-04
OPP-11,H06,Slider,2482,-0.0,-5.1,0,0,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2229,11.4,7.1,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2191,16.3,5.9,1,1,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2056,18.6,2.4,2,1,InPlay,R,R,2026-09-04
OPP-11,H08,Fastball,2397,8.0,9.6,0,0,BallCalled,R,R,2026-09-04
OPP-11,H08,Fastball,2057,16.3,9.9,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H08,Fastball,2306,16.7,9.5,1,1,InPlay,R,R,2026-09-04
OPP-11,H06,Slider,2355,3.5,-7.3,0,0,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2311,15.8,5.4,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Slider,2416,0.0,-5.8,1,1,StrikeCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2071,13.4,7.7,1,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,2381,15.8,6.9,2,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Slider,2483,4.9,-0.4,3,2,FoulBall,R,R,2026-09-04
OPP-11,H06,Slider,2313,4.3,-2.5,3,2,FoulBall,R,R,2026-09-04
OPP-11,H06,Slider,2129,2.8,-8.1,3,2,StrikeSwinging,R,R,2026-09-04
OPP-11,H04,Slider,2180,-3.2,-7.9,0,0,StrikeCalled,R,R,2026-09-04
OPP-11,H04,Curveball,2506,-3.5,-8.8,0,1,BallCalled,R,R,2026-09-04
OPP-11,H04,Fastball,2271,15.2,9.1,1,1,FoulBall,R,R,2026-09-04
OPP-11,H04,Fastball,2165,17.5,9.9,1,2,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,2235,16.0,5.8,0,0,StrikeSwinging,R,R,2026-09-04
OPP-11,H02,Fastball,2306,16.5,13.2,0,1,FoulBall,R,R,2026-09-04
OPP-11,H02,Changeup,1616,8.6,10.4,0,2,FoulBall,R,R,2026-09-04
