pitcher,batter,pitch_type,velocity,spin,ivb,hb,plate_x,plate_z,count_balls,count_strikes,result,batter_side,pitcher_hand,date
OPP-11,H04,Fastball,91.3,2286,17.2,14.6,0.372,1.656,0,0,InPlay,L,R,2026-09-04
OPP-11,H05,Fastball,90.4,2174,15.2,9.1,0.78,2.717,0,0,StrikeCalled,L,R,2026-09-04
OPP-11,H05,Fastball,90.8,2327,16.4,8.7,-0.142,2.84,0,1,FoulBall,L,R,2026-09-04
OPP-11,H05,Fastball,90.4,2153,16.6,9.1,-0.487,2.681,0,2,InPlay,L,R,2026-09-04
OPP-11,H09,Fastball,94.5,2122,14.2,12.7,0.383,2.616,0,0,InPlay,R,R,2026-09-04
OPP-11,H02,Fastball,92.6,2223,15.8,13.4,0.479,2.106,0,0,StrikeSwinging,L,R,2026-09-04
OPP-11,H02,Fastball,89.5,2181,12.6,13.6,-0.903,2.524,0,1,StrikeSwinging,L,R,2026-09-04
OPP-11,H02,Fastball,89.2,2345,15.0,12.2,-0.129,2.739,0,2,StrikeSwinging,L,R,2026-09-04
OPP-11,H01,Fastball,90.6,2232,15.2,8.4,1.587,2.437,0,0,BallCalled,R,R,2026-09-04
OPP-11,H01,Fastball,87.6,2199,17.0,5.4,-0.782,1.679,1,0,StrikeCalled,R,R,2026-09-04
OPP-11,H01,Changeup,82.9,1753,8.6,8.6,-0.121,1.079,1,1,FoulBall,R,R,2026-09-04
OPP-11,H01,Fastball,87.9,2364,15.2,5.5,-1.25,1.906,1,2,BallCalled,R,R,2026-09-04
OPP-11,H01,Fastball,90.1,2329,16.6,4.3,-1.257,3.993,2,2,BallCalled,R,R,2026-09-04
OPP-11,H01,Curveball,78.9,2602,-9.0,-10.1,0.261,0.442,3,2,FoulBall,R,R,2026-09-04
OPP-11,H01,Fastball,90.0,2352,16.5,7.8,-0.501,0.934,3,2,BallCalled,R,R,2026-09-04
OPP-11,H06,Fastball,89.4,2319,15.2,6.3,-1.013,2.259,0,0,BallCalled,L,R,2026-09-04
OPP-11,H06,Fastball,92.4,2137,14.6,14.4,-0.734,2.629,1,0,StrikeCalled,L,R,2026-09-04
OPP-11,H06,Fastball,90.4,2257,14.3,10.0,0.463,2.0,1,1,StrikeCalled,L,R,2026-09-04
OPP-11,H06,Slider,84.9,2535,1.6,-3.4,-2.042,1.938,1,2,BallCalled,L,R,2026-09-04
OPP-11,H06,Slider,80.5,2526,3.5,-5.1,-0.543,1.573,2,2,StrikeCalled,L,R,2026-09-04
OPP-11,H06,Slider,82.8,2482,-0.0,-5.1,-0.255,0.82,0,0,BallCalled,R,R,2026-09-04
