Pitcher,Batter,TaggedPitchType,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,PlateLocSide,PlateLocHeight,Balls,Strikes,PitchCall,BatterSide,PitcherThrows,Date
OPP-32,H04,Slider,81.8,2241,2.1,-4.2,0.497,1.16,0,0,BallCalled,L,R,2026-08-28
OPP-32,H04,Fastball,88.9,2307,16.9,6.8,-0.458,2.489,1,0,FoulBall,L,R,2026-08-28
OPP-32,H04,Fastball,94.2,2246,17.3,3.8,0.761,2.723,1,1,StrikeSwinging,L,R,2026-08-28
OPP-32,H04,Changeup,82.1,1625,8.9,20.7,1.114,1.706,1,2,StrikeSwinging,L,R,2026-08-28
OPP-32,H09,Fastball,91.8,2315,13.7,6.8,-0.893,3.099,0,0,BallCalled,L,R,2026-08-28
OPP-32,H09,Fastball,89.2,2243,18.0,10.3,0.196,2.368,1,0,InPlay,L,R,2026-08-28
OPP-32,H05,Fastball,88.6,2196,15.3,11.7,-1.141,2.6,0,0,BallCalled,R,R,2026-08-28
OPP-32,H05,Slider,83.8,2185,-1.1,-5.9,0.607,2.947,1,0,StrikeCalled,R,R,2026-08-28
OPP-32,H05,Fastball,90.1,2320,15.5,7.1,0.929,2.554,1,1,BallCalled,R,R,2026-08-28
OPP-32,H05,Fastball,91.8,2239,14.9,13.5,-0.147,2.537,2,1,FoulBall,R,R,2026-08-28
OPP-32,H05,Fastball,88.4,2184,18.6,5.9,0.147,2.75,2,2,InPlay,R,R,2026-08-28
OPP-32,H02,Changeup,81.9,1752,11.5,12.9,-1.817,1.154,0,0,BallCalled,L,R,2026-08-28
OPP-32,H02,Fastball,91.3,2155,14.4,12.4,0.168,2.531,1,0,StrikeCalled,L,R,2026-08-28
OPP-32,H02,Fastball,90.2,1945,15.6,8.8,0.879,3.667,1,1,BallCalled,L,R,2026-08-28
OPP-32,H02,Fastball,88.9,2053,10.5,6.1,0.036,2.174,2,1,InPlay,L,R,2026-08-28
OPP-32,H03,Changeup,81.5,1754,10.2,9.0,0.602,1.952,0,0,StrikeCalled,R,R,2026-08-28
OPP-32,H03,Slider,81.6,2504,3.0,-2.8,-0.543,0.325,0,1,BallCalled,R,R,2026-08-28
OPP-32,H03,Slider,80.6,2298,5.7,-6.7,-0.467,2.156,1,1,FoulBall,R,R,2026-08-28
OPP-32,H03,Slider,81.1,2327,2.1,-6.3,0.351,1.577,1,2,StrikeSwinging,R,R,2026-08-28
OPP-32,H09,Fastball,90.7,2305,14.7,11.2,0.241,2.936,0,0,StrikeSwinging,R,R,2026-08-28
OPP-32,H09,Curveball,74.2,2676,-4.8,-11.4,0.945,1.261,0,1,StrikeSwinging,R,R,2026-08-28
OPP-32,H09,Slider,83.9,2574,3.1,-7.3,-0.585,1.571,0,2,FoulBall,R,R,2026-08-28
